,rtime,lkas,ldws,distance,speed,latitude,longtitude
319,2020-11-07 13:46:17,1,1,22.57,83,37.2432643,127.10434529999999
320,2020-11-07 13:46:18,1,1,24.54,83,37.24307619,127.1043854
321,2020-11-07 13:46:19,1,1,20.87,83,37.24287731,127.1044304
322,2020-11-07 13:46:20,1,1,21.57,83,37.24268766,127.1044747
323,2020-11-07 13:46:21,1,1,20.42,82,37.24248991,127.1045215
324,2020-11-07 13:46:22,1,1,19.38,81,37.24229074,127.10456909999999
325,2020-11-07 13:46:23,1,1,18.8,80,37.24208671,127.1046175
326,2020-11-07 13:46:24,1,1,18.61,79,37.24187670000001,127.10466140000001
327,2020-11-07 13:46:25,1,1,17.72,77,37.24168472,127.1047011
328,2020-11-07 13:46:26,1,1,47.38,76,37.24149254,127.1047413
329,2020-11-07 13:46:27,1,1,16.59,74,37.24129426,127.1047834
330,2020-11-07 13:46:28,1,1,16.29,72,37.24109828,127.10482739999999
331,2020-11-07 13:46:29,1,1,16.75,71,37.24091348,127.10486850000001
332,2020-11-07 13:46:30,1,1,17.22,70,37.24073879,127.1049074
333,2020-11-07 13:46:31,1,1,17.06,71,37.24056701,127.1049469
334,2020-11-07 13:46:32,1,1,18.07,71,37.24040193,127.10498429999998
335,2020-11-07 13:46:33,1,1,18.43,71,37.24022841,127.10502549999998
336,2020-11-07 13:46:34,1,1,18.61,72,37.24007635,127.10506609999999
337,2020-11-07 13:46:34,1,1,18.61,73,37.24007635,127.10506609999999
338,2020-11-07 13:46:35,1,1,20.65,75,37.23990788,127.1051087
339,2020-11-07 13:46:36,1,1,21.82,77,37.23972034,127.10515159999999
340,2020-11-07 13:46:37,1,1,22.06,78,37.2395416,127.10519520000001
341,2020-11-07 13:46:38,1,1,21.82,79,37.23935952,127.10524009999999
342,2020-11-07 13:46:39,0,1,23.11,79,37.23914156,127.1052935
343,2020-11-07 13:46:40,0,1,21.82,79,37.23893444,127.1053422
344,2020-11-07 13:46:42,0,1,2.76,78,37.23853624,127.1054271
345,2020-11-07 13:46:42,0,1,2.76,77,37.23853624,127.1054271
346,2020-11-07 13:46:44,0,1,45.42,77,37.2381713,127.105494
347,2020-11-07 13:46:45,0,1,35.04,76,37.23799352,127.1055203
348,2020-11-07 13:46:45,0,1,35.04,77,37.23799352,127.1055203
349,2020-11-07 13:46:46,0,1,31.37,77,37.23781394,127.10554579999999
350,2020-11-07 13:46:48,0,1,23.95,74,37.23746662,127.1055873
351,2020-11-07 13:46:48,0,1,23.95,70,37.23746662,127.1055873
352,2020-11-07 13:46:54,0,1,23.66,39,37.23650498,127.10569440000002
353,2020-11-07 13:46:54,0,1,23.66,33,37.23650498,127.10569440000002
354,2020-11-07 13:46:55,0,1,24.54,30,37.23637875,127.1056869
355,2020-11-07 13:46:57,0,1,26.15,28,37.23618251,127.10561129999999
